fips,WinMargin,,,
01001,9.6186,,,
01003,10.3218,,,
01005,6.5544,,,
01007,9.1932,,,
01009,11.2692,,,
01011,2.0478,,,
01013,6.8646,,,
01015,9.0078,,,
01017,6.9642,,,
01019,10.095,,,
01021,10.8066,,,
01023,6.0408,,,
01025,6.8916,,,
01027,9.6546,,,
01029,11.2158,,,
01031,10.1118,,,
01033,7.2738,,,
01035,3.9654,,,
01037,7.8816,,,
01039,10.9098,,,
01041,8.7252,,,
01043,10.9368,,,
01045,9.8226,,,
01047,0.9096,,,
01049,10.4088,,,
01051,9.891,,,
01053,8.5584,,,
01055,9.2208,,,
01057,10.2702,,,
01059,8.0682,,,
01061,10.779,,,
01063,1.0068,,,
01065,3.3762,,,
01067,8.8302,,,
01069,10.0374,,,
01071,10.227,,,
01073,6.3702,,,
01075,10.1688,,,
01077,9.1272,,,
01079,8.7492,,,
01081,8.1738,,,
01083,9.7476,,,
01085,2.0232,,,
01087,1.587,,,
01089,8.307,,,
01091,2.1912,,,
01093,10.6416,,,
01095,10.6386,,,
01097,7.6728,,,
01099,7.0008,,,
01101,5.3094,,,
01103,9.858,,,
01105,1.3158,,,
01107,5.667,,,
01109,8.0658,,,
01111,8.8728,,,
01113,4.8696,,,
01115,10.5768,,,
01117,10.0032,,,
01119,0.897,,,
01121,7.872,,,
01123,8.9358,,,
01125,7.9398,,,
01127,10.275,,,
01129,6.345,,,
01131,1.4646,,,
01133,11.157,,,
04001,3.033,,,
04003,6.9642,,,
04005,4.2324,,,
04007,6.9096,,,
04009,7.7904,,,
04011,4.7736,,,
04012,8.2362,,,
04013,6.4728,,,
04015,8.874,,,
04017,6.1836,,,
04019,5.0352,,,
04021,6.4806,,,
04023,3.2814,,,
04025,7.9824,,,
04027,6.4092,,,
05001,9.0984,,,
05003,4.512,,,
05005,9.5298,,,
05007,9.6006,,,
05009,10.0476,,,
05011,8.4486,,,
05013,4.3008,,,
05017,3.9216,,,
05019,6.573,,,
05021,4.02,,,
05023,10.3416,,,
05025,8.853,,,
05027,8.376,,,
05029,5.4732,,,
05031,8.2752,,,
05033,9.7062,,,
05035,5.0208,,,
05037,8.4072,,,
05039,3.4656,,,
05041,2.31,,,
05043,6.6066,,,
05045,8.7282,,,
05047,9.2286,,,
05049,6.4404,,,
05051,8.688,,,
05053,9.1476,,,
05055,9.099,,,
05057,8.538,,,
05059,7.7538,,,
05061,8.4492,,,
05063,9.429,,,
05065,8.763,,,
05067,7.6188,,,
05069,2.8236,,,
05071,8.0154,,,
05073,6.7566,,,
05075,5.0634,,,
05077,4.5714,,,
05079,7.6524,,,
05081,6.3318,,,
05083,8.6754,,,
05085,9.8628,,,
05087,5.3088,,,
05089,9.9162,,,
05091,9.624,,,
05093,7.101,,,
05095,2.9622,,,
05097,9.2754,,,
05099,4.9188,,,
05101,10.4334,,,
05103,6.0612,,,
05105,6.7914,,,
05107,1.8858,,,
05109,8.796,,,
05111,8.8314,,,
05113,10.5288,,,
05115,9.1896,,,
05117,6.3978,,,
05119,6.0132,,,
05121,7.8744,,,
05125,9.3378,,,
05127,9.366,,,
05129,10.302,,,
05131,9.0522,,,
05133,8.9868,,,
05135,9.1284,,,
05137,8.6106,,,
05139,5.2338,,,
05141,8.64,,,
05143,7.4082,,,
05145,9.7938,,,
05147,2.3832,,,
05149,8.0724,,,
06001,1.4964,,,
06003,4.5702,,,
06005,6.4176,,,
06007,5.2446,,,
06009,6.3858,,,
06011,6.6912,,,
06013,3.0066,,,
06015,5.2656,,,
06017,6.2136,,,
06019,5.535,,,
06021,7.3038,,,
06023,2.8158,,,
06025,3.0402,,,
06027,5.9736,,,
06029,6.7356,,,
06031,6.7692,,,
06033,4.1766,,,
06035,7.9518,,,
06037,2.3028,,,
06039,6.5076,,,
06041,1.9836,,,
06043,6.519,,,
06045,2.7222,,,
06047,4.7622,,,
06049,8.2836,,,
06051,4.6614,,,
06053,3.2064,,,
06055,3.5994,,,
06057,4.7034,,,
06059,5.421,,,
06061,6.1164,,,
06063,6.3738,,,
06065,5.3388,,,
06067,3.8142,,,
06069,4.1502,,,
06071,4.8426,,,
06073,4.5384,,,
06075,0.8286,,,
06077,4.7334,,,
06079,5.1054,,,
06081,2.3004,,,
06083,3.9978,,,
06085,2.7036,,,
06087,1.848,,,
06089,7.1166,,,
06091,6.423,,,
06093,6.186,,,
06095,3.3852,,,
06097,2.4996,,,
06099,4.9368,,,
06101,6.7428,,,
06103,7.1742,,,
06105,5.361,,,
06107,6.7506,,,
06109,6.1812,,,
06111,4.4526,,,
06113,2.6274,,,
06115,6.3618,,,
08001,0,,,
08003,0,,,
08005,0,,,
08007,0,,,
08009,0,,,
08011,0,,,
08013,0,,,
08014,0,,,
08015,0,,,
08017,0,,,
08019,0,,,
08021,0,,,
08023,0,,,
08025,0,,,
08027,0,,,
08029,0,,,
08031,0,,,
08033,0,,,
08035,0,,,
08037,0,,,
08039,0,,,
08041,0,,,
08043,0,,,
08045,0,,,
08047,0,,,
08049,0,,,
08051,0,,,
08053,0,,,
08055,0,,,
08057,0,,,
08059,0,,,
08061,0,,,
08063,0,,,
08065,0,,,
08067,0,,,
08069,0,,,
08071,0,,,
08073,0,,,
08075,0,,,
08077,0,,,
08079,0,,,
08081,0,,,
08083,0,,,
08085,0,,,
08087,0,,,
08089,0,,,
08091,0,,,
08093,0,,,
08095,0,,,
08097,0,,,
08099,0,,,
08101,0,,,
08103,0,,,
08105,0,,,
08107,0,,,
08109,0,,,
08111,0,,,
08113,0,,,
08115,0,,,
08117,0,,,
08119,0,,,
08121,0,,,
08123,0,,,
08125,0,,,
09001,5.67,,,
09003,0.5526,,,
09005,6.345,,,
09009,0.6804,,,
09011,1.8756,,,
09013,5.5998,,,
09015,2.7642,,,
10001,5.9922,,,
10003,3.9084,,,
10005,7.2582,,,
12001,4.7736,,,
12003,8.7768,,,
12005,9.063,,,
12007,7.7334,,,
12009,7.7706,,,
12011,4.3968,,,
12013,6.375,,,
12015,8.3472,,,
12017,8.3658,,,
12019,9.6594,,,
12021,9.2472,,,
12023,8.0682,,,
12027,7.0314,,,
12029,7.9266,,,
