fips,WinMargin,,
01001,0.20,,
01003,0.32,,
01005,-0.14,,
01007,0.20,,
01009,0.43,,
01011,-0.67,,
01013,-0.09,,
01015,0.15,,
01017,-0.10,,
01019,0.33,,
01021,0.38,,
01023,-0.17,,
01025,-0.11,,
01027,0.23,,
01029,0.42,,
01031,0.24,,
01033,0.00,,
01035,-0.33,,
01037,0.07,,
01039,0.38,,
01041,0.16,,
01043,0.41,,
01045,0.24,,
01047,-0.72,,
01049,0.33,,
01051,0.26,,
01053,0.10,,
01055,0.18,,
01057,0.32,,
01059,0.15,,
01061,0.37,,
01063,-0.80,,
01065,-0.46,,
01067,0.12,,
01069,0.22,,
01071,0.33,,
01073,-0.20,,
01075,0.34,,
01077,0.17,,
01079,0.17,,
01081,-0.01,,
01083,0.22,,
01085,-0.66,,
01087,-0.72,,
01089,0.04,,
01091,-0.53,,
01093,0.40,,
01095,0.37,,
01097,-0.01,,
01099,-0.07,,
01101,-0.31,,
01103,0.24,,
01105,-0.72,,
01107,-0.23,,
01109,0.04,,
01111,0.19,,
01113,-0.29,,
01115,0.32,,
01117,0.19,,
01119,-0.77,,
01121,0.04,,
01123,0.17,,
01125,-0.01,,
01127,0.38,,
01129,-0.06,,
01131,-0.71,,
01133,0.49,,
04001,-0.39,,
04003,0.09,,
04005,-0.12,,
04007,0.11,,
04009,0.11,,
04011,-0.16,,
04012,0.35,,
04013,0.04,,
04015,0.37,,
04017,-0.06,,
04019,-0.12,,
04021,0.07,,
04023,-0.34,,
04025,0.19,,
04027,0.00,,
05001,0.10,,
05003,-0.21,,
05005,0.23,,
05007,0.12,,
05009,0.25,,
05011,0.07,,
05013,-0.21,,
05017,-0.40,,
05019,-0.20,,
05021,-0.26,,
05023,0.23,,
05025,0.06,,
05027,0.03,,
05029,-0.20,,
05031,-0.01,,
05033,0.14,,
05035,-0.29,,
05037,0.06,,
05039,-0.36,,
05041,-0.50,,
05043,-0.12,,
05045,0.04,,
05047,0.14,,
05049,-0.02,,
05051,0.07,,
05053,0.08,,
05055,0.12,,
05057,0.01,,
05059,0.01,,
05061,0.01,,
05063,0.14,,
05065,0.13,,
05067,0.00,,
05069,-0.54,,
05071,0.06,,
05073,-0.08,,
05075,-0.17,,
05077,-0.36,,
05079,-0.01,,
05081,-0.08,,
05083,0.07,,
05085,0.16,,
05087,-0.11,,
05089,0.27,,
05091,0.13,,
05093,-0.08,,
05095,-0.40,,
05097,0.18,,
05099,-0.26,,
05101,0.29,,
05103,-0.21,,
05105,-0.05,,
05107,-0.59,,
05109,0.07,,
05111,0.09,,
05113,0.31,,
05115,0.11,,
05117,-0.11,,
05119,-0.25,,
05121,0.02,,
05125,0.09,,
05127,0.20,,
05129,0.26,,
05131,0.10,,
05133,0.12,,
05135,0.17,,
05137,0.13,,
05139,-0.18,,
05141,0.10,,
05143,-0.02,,
05145,0.13,,
05147,-0.51,,
05149,0.05,,
06001,-0.38,,
06003,0.03,,
06005,0.21,,
06007,0.14,,
06009,0.21,,
06011,0.25,,
06013,-0.26,,
06015,0.13,,
06017,0.18,,
06019,0.05,,
06021,0.32,,
06023,-0.06,,
06025,-0.31,,
06027,0.19,,
06029,0.20,,
06031,0.21,,
06033,-0.02,,
06035,0.42,,
06037,-0.32,,
06039,0.18,,
06041,-0.37,,
06043,0.22,,
06045,-0.10,,
06047,-0.02,,
06049,0.46,,
06051,0.03,,
06053,-0.22,,
06055,-0.19,,
06057,0.09,,
06059,0.06,,
06061,0.14,,
06063,0.24,,
06065,0.04,,
06067,-0.14,,
06069,-0.11,,
06071,-0.01,,
06073,-0.04,,
06075,-0.48,,
06077,-0.05,,
06079,0.04,,
06081,-0.36,,
06083,-0.08,,
06085,-0.32,,
