fips,3rd Party Effect direction
1001,-0.4
1003,-0.4
1005,-0.23
1007,-0.33
1009,-0.44
1011,-0.02
1013,-0.23
1015,-0.35
1017,-0.26
1019,-0.35
1021,-0.42
1023,-0.18
1025,-0.26
1027,-0.38
1029,-0.45
1031,-0.45
1033,-0.21
1035,0.01
1037,-0.25
1039,-0.44
1041,-0.3
1043,-0.41
1045,-0.4
1047,0.13
1049,-0.4
1051,-0.39
1053,-0.33
1055,-0.35
1057,-0.39
1059,-0.19
1061,-0.42
1063,0.03
1065,-0.03
1067,-0.35
1069,-0.45
1071,-0.37
1073,-0.26
1075,-0.36
1077,-0.35
1079,-0.29
1081,-0.37
1083,-0.41
1085,0
1087,0.02
1089,-0.34
1091,0.11
1093,-0.37
1095,-0.4
1097,-0.29
1099,-0.24
1101,-0.19
1103,-0.4
1105,0.06
1107,-0.17
1109,-0.3
1111,-0.29
1113,-0.1
1115,-0.45
1117,-0.48
1119,0.08
1121,-0.27
1123,-0.32
1125,-0.33
1127,-0.33
1129,-0.11
1131,0.04
1133,-0.37
4001,0.1
4003,-0.07
4005,0.17
4007,-0.05
4009,-0.19
4011,0.05
4012,-0.02
4013,-0.04
4015,-0.11
4017,-0.09
4019,0.04
4021,-0.01
4023,0.11
4025,-0.14
4027,-0.07
5001,-0.42
5003,0.04
5005,-0.36
5007,-0.48
5009,-0.42
5011,-0.33
5013,0.07
5017,-0.05
5019,-0.3
5021,0.07
5023,-0.5
5025,-0.41
5027,-0.36
5029,-0.11
5031,-0.39
5033,-0.48
5035,-0.12
5037,-0.34
5039,0.06
5041,0.12
5043,-0.22
5045,-0.41
5047,-0.4
5049,-0.09
5051,-0.38
5053,-0.45
5055,-0.4
5057,-0.41
5059,-0.29
5061,-0.4
5063,-0.43
5065,-0.33
5067,-0.27
5069,-0.01
5071,-0.28
5073,-0.21
5075,-0.01
5077,-0.12
5079,-0.28
5081,-0.14
5083,-0.37
5085,-0.49
5087,0.01
5089,-0.38
5091,-0.47
5093,-0.26
5095,0.1
5097,-0.37
5099,-0.08
5101,-0.45
5103,-0.22
5105,-0.18
5107,0.1
5109,-0.39
5111,-0.38
5113,-0.45
5115,-0.42
5117,-0.18
5119,-0.26
5121,-0.29
5125,-0.47
5127,-0.36
5129,-0.45
5131,-0.41
5133,-0.37
5135,-0.35
5137,-0.3
5139,-0.05
5141,-0.34
5143,-0.26
5145,-0.5
5147,0.09
5149,-0.29
6001,0.37
6003,0.27
6005,0.14
6007,0.27
6009,0.15
6011,0.13
6013,0.23
6015,0.25
6017,0.14
6019,0.12
6021,0.1
6023,0.47
6025,0.18
6027,0.2
6029,0.08
6031,0.08
6033,0.29
6035,0.09
6037,0.29
6039,0.1
6041,0.3
6043,0.14
6045,0.45
6047,0.18
6049,0.08
6051,0.25
6053,0.24
6055,0.21
6057,0.3
6059,0.15
6061,0.12
6063,0.18
6065,0.15
6067,0.22
6069,0.2
6071,0.18
6073,0.21
6075,0.39
6077,0.17
6079,0.19
6081,0.26
6083,0.26
6085,0.23
6087,0.43
6089,0.12
6091,0.2
6093,0.22
6095,0.25
6097,0.33
6099,0.18
6101,0.12
6103,0.13
6105,0.27
6107,0.09
6109,0.16
6111,0.2
6113,0.32
6115,0.17
8001,0.61
8003,0.65
8005,0.53
8007,0.65
8009,0.48
8011,0.48
8013,0.64
8014,0.64
8015,0.66
8017,0.44
8019,0.56
8021,0.41
8023,0.26
8025,0.52
8027,0.57
8029,0.7
8031,0.55
8033,0.73
8035,0.5
8037,0.64
8039,0.62
8041,0.61
8043,0.58
8045,0.63
8047,0.7
8049,0.67
8051,0.77
8053,0.77
8055,0.62
8057,0.44
8059,0.6
8061,0.29
8063,0.59
8065,0.76
8067,0.64
8069,0.67
8071,0.57
8073,0.41
8075,0.48
8077,0.58
8079,0.61
8081,0.57
8083,0.68
8085,0.55
8087,0.55
8089,0.55
8091,0.64
8093,0.66
8095,0.62
8097,0.55
8099,0.31
8101,0.48
8103,0.69
8105,0.56
8107,0.64
8109,0.82
8111,0.71
8113,0.79
8115,0.38
8117,0.6
8119,0.63
8121,0.55
8123,0.61
8125,0.42
9001,-0.03
9003,0.26
9005,0.03
9009,0.37
9011,0.39
9013,0.09
9015,0.38
10001,0.04
10003,0.12
10005,-0.02
12001,0.06
12003,-0.19
12005,-0.27
12007,-0.15
12009,-0.2
12011,-0.01
